Brand,AnnualDemand,AvgPurchasePrice,HoldingCost,OrderingCost,EOQ,OrdersPerYear,TotalOrderingCost,TotalHoldingCost,TotalInventoryCost
5734,2918,15.82,3.164,150,526,6,900,832.1320000000001,1732.132
5391,2902,12.02,2.404,150,602,5,750,723.6039999999999,1473.6039999999998
22143,2887,10.52,2.104,150,642,5,750,675.384,1425.384
6451,2880,6.03,1.2060000000000002,150,846,4,600,510.1380000000001,1110.1380000000001
5735,2877,9.29,1.8579999999999999,150,682,5,750,633.578,1383.578
5877,2871,0.62,0.124,150,2636,2,300,163.432,463.432
34134,2870,5.84,1.168,150,859,4,600,501.65599999999995,1101.656
4903,2860,2.87,0.5740000000000001,150,1223,3,450,351.00100000000003,801.001
38133,2851,3.92,0.784,150,1044,3,450,409.248,859.248
8678,2842,9.32,1.864,150,676,5,750,630.032,1380.0320000000002
4243,2839,14.49,2.898,150,542,6,900,785.3580000000001,1685.3580000000002
3650,2829,33.81,6.7620000000000005,150,354,8,1200,1196.874,2396.874
2792,2814,0.78,0.15600000000000003,150,2326,2,300,181.42800000000003,481.428
8504,2801,5.84,1.168,150,848,4,600,495.23199999999997,1095.232
6565,2788,5.99,1.1980000000000002,150,836,4,600,500.76400000000007,1100.7640000000001
3310,2781,4.34,0.868,150,980,3,450,425.32,875.3199999999999
38370,2769,6.59,1.318,150,794,4,600,523.246,1123.246
35913,2765,5.47,1.094,150,871,4,600,476.437,1076.437
6256,2685,5.2,1.04,150,880,4,600,457.6,1057.6
3879,2668,7.91,1.582,150,711,4,600,562.4010000000001,1162.401
1883,2663,13.23,2.6460000000000004,150,549,5,750,726.3270000000001,1476.3270000000002
1180,2660,13.07,2.6140000000000003,150,553,5,750,722.7710000000001,1472.7710000000002
6967,2644,11.89,2.378,150,578,5,750,687.2420000000001,1437.2420000000002
7715,2624,3.01,0.602,150,1144,3,450,344.344,794.344
14706,2600,4.6,0.9199999999999999,150,921,3,450,423.65999999999997,873.66
3636,2594,5.03,1.006,150,880,3,450,442.64,892.64
5103,2576,17.14,3.4280000000000004,150,475,6,900,814.1500000000001,1714.15
6857,2570,5.37,1.074,150,847,4,600,454.83900000000006,1054.839
5299,2493,15.26,3.052,150,495,6,900,755.37,1655.37
8178,2488,18.51,3.7020000000000004,150,449,6,900,831.099,1731.0990000000002
5270,2466,1.55,0.31000000000000005,150,1545,2,300,239.47500000000005,539.475
8092,2455,1.7,0.34,150,1472,2,300,250.24,550.24
3612,2448,6.81,1.362,150,734,4,600,499.85400000000004,1099.854
2143,2441,10.07,2.0140000000000002,150,603,5,750,607.2210000000001,1357.221
34133,2439,6.12,1.2240000000000002,150,773,4,600,473.0760000000001,1073.076
5316,2408,1.83,0.36600000000000005,150,1405,2,300,257.115,557.115
31465,2399,10.38,2.076,150,589,5,750,611.3820000000001,1361.382
25269,2388,4.62,0.924,150,881,3,450,407.022,857.0219999999999
4245,2386,7.93,1.586,150,672,4,600,532.8960000000001,1132.8960000000002
1375,2368,11.5,2.3000000000000003,150,556,5,750,639.4000000000001,1389.4
497,2339,14.7,2.94,150,489,5,750,718.83,1468.83
2465,2316,2.15,0.43,150,1271,2,300,273.265,573.265
7878,2315,9.99,1.9980000000000002,150,590,4,600,589.4100000000001,1189.41
2015,2308,18.1,3.6200000000000006,150,437,6,900,790.9700000000001,1690.9700000000003
8101,2298,1.47,0.294,150,1531,2,300,225.057,525.057
14551,2283,5.29,1.058,150,805,3,450,425.845,875.845
24829,2278,7.53,1.5060000000000002,150,674,4,600,507.52200000000005,1107.522
15393,2277,4.51,0.902,150,870,3,450,392.37,842.37
26383,2275,7.89,1.578,150,658,4,600,519.162,1119.162
1231,2258,9.48,1.8960000000000001,150,598,4,600,566.904,1166.904
5457,2247,1.54,0.30800000000000005,150,1479,2,300,227.76600000000005,527.7660000000001
3349,2234,0.71,0.142,150,2172,2,300,154.212,454.212
13430,2227,5.91,1.1820000000000002,150,752,3,450,444.4320000000001,894.432
16819,2219,8.21,1.6420000000000003,150,637,4,600,522.9770000000001,1122.977
3348,2212,22.38,4.476,150,385,6,900,861.63,1761.63
482,2191,14.28,2.856,150,480,5,750,685.4399999999999,1435.44
3050,2185,6.51,1.302,150,710,4,600,462.21000000000004,1062.21
4269,2162,9.22,1.8440000000000003,150,593,4,600,546.7460000000001,1146.746
8066,2159,7.13,1.4260000000000002,150,674,4,600,480.56200000000007,1080.5620000000001
43223,2157,5.93,1.186,150,739,3,450,438.227,888.227
6081,2153,1.46,0.292,150,1487,2,300,217.10199999999998,517.102
3356,2143,4.47,0.894,150,848,3,450,379.056,829.056
42764,2138,6.09,1.218,150,726,3,450,442.134,892.134
5342,2136,19.85,3.9700000000000006,150,402,6,900,797.9700000000001,1697.9700000000003
5708,2129,0.38,0.07600000000000001,150,2899,1,150,110.16200000000002,260.16200000000003
5401,2129,4.64,0.9279999999999999,150,830,3,450,385.11999999999995,835.1199999999999
35916,2098,5.29,1.058,150,771,3,450,407.85900000000004,857.859
3859,2090,6.81,1.362,150,678,4,600,461.718,1061.718
8202,2083,13.33,2.6660000000000004,150,484,5,750,645.1720000000001,1395.172
23095,2079,4.76,0.952,150,809,3,450,385.084,835.0840000000001
27461,2074,6.12,1.2240000000000002,150,713,3,450,436.35600000000005,886.356
40425,2073,6.42,1.284,150,696,3,450,446.832,896.832
12220,2055,5.48,1.096,150,750,3,450,411.00000000000006,861.0
3162,2049,0.76,0.15200000000000002,150,2011,2,300,152.836,452.836
22447,2039,4.72,0.944,150,805,3,450,379.96,829.96
44038,2036,5.86,1.1720000000000002,150,722,3,450,423.09200000000004,873.0920000000001
4252,2036,0.77,0.15400000000000003,150,1992,2,300,153.38400000000001,453.384
1378,2015,7.08,1.4160000000000001,150,653,4,600,462.32400000000007,1062.324
8691,2008,11.9,2.3800000000000003,150,503,4,600,598.57,1198.5700000000002
5356,2008,7.14,1.428,150,649,4,600,463.38599999999997,1063.386
