Brand,EndingStock,AvgPrice,InventoryValue,TotalSold,StockToSales,MovementClass
151,58,15.99,927.42,1.0,58.0,Slow Moving
156,191,19.99,3818.0899999999997,0.0,inf,Dead Stock
159,86,34.99,3009.1400000000003,131.0,0.6564885496183206,Normal
161,49,12.99,636.51,8.0,6.125,Slow Moving
162,210,22.99,4827.9,98.0,2.142857142857143,Slow Moving
168,771,11.99,9244.29,264.0,2.9204545454545454,Slow Moving
169,6,16.99,101.94,0.0,inf,Dead Stock
171,965,49.99,48240.35,510.0,1.892156862745098,Normal
175,228,41.99,9573.720000000001,72.0,3.1666666666666665,Slow Moving
178,514,26.99,13872.859999999999,149.0,3.4496644295302015,Slow Moving
181,4,24.99,99.96,0.0,inf,Dead Stock
184,1,20.99,20.99,50.0,0.02,Fast Moving
190,20,4.29,85.8,96.0,0.20833333333333334,Fast Moving
192,261,35.99,9393.390000000001,66.0,3.9545454545454546,Slow Moving
194,1,29.99,29.99,3.0,0.3333333333333333,Fast Moving
197,5,22.49,112.44999999999999,0.0,inf,Dead Stock
200,298,29.99,8937.02,38.0,7.842105263157895,Slow Moving
202,59,28.99,1710.4099999999999,20.0,2.95,Slow Moving
203,4,21.99,87.96,0.0,inf,Dead Stock
204,9,14.49,130.41,1.0,9.0,Slow Moving
206,16,17.99,287.84,0.0,inf,Dead Stock
207,5,14.49,72.45,3.0,1.6666666666666667,Normal
211,539,29.99,16164.609999999999,126.0,4.277777777777778,Slow Moving
213,114,22.990000000000002,2620.86,64.0,1.78125,Normal
216,17,19.99,339.83,18.0,0.9444444444444444,Normal
217,45,19.99,899.55,40.0,1.125,Normal
222,48,19.99,959.52,2.0,24.0,Slow Moving
226,56,10.99,615.44,12.0,4.666666666666667,Slow Moving
233,329,42.99,14143.710000000001,64.0,5.140625,Slow Moving
234,6,15.49,92.94,0.0,inf,Dead Stock
236,16,17.99,287.84,0.0,inf,Dead Stock
240,20,20.99,419.79999999999995,9.0,2.2222222222222223,Slow Moving
247,74,199.99,14799.26,8.0,9.25,Slow Moving
248,5,49.99,249.95000000000002,1.0,5.0,Slow Moving
249,15,21.99,329.84999999999997,6.0,2.5,Slow Moving
253,146,5.79,845.34,479.0,0.3048016701461378,Fast Moving
254,149,10.99,1637.51,49.0,3.0408163265306123,Slow Moving
258,21,33.99,713.7900000000001,7.0,3.0,Slow Moving
261,117,12.990000000000002,1519.8300000000002,12.0,9.75,Slow Moving
262,2,11.99,23.98,0.0,inf,Dead Stock
