VendorName,Total_Quantity,Total_Spent,Num_Orders,Avg_LeadTime,Std_LeadTime,Min_LeadTime,Max_LeadTime,Avg_Cost_Per_Unit,LeadTime_CV,DeliveryScore
SURVILLE ENTERPRISES CORP  ,6504,51325.77,668,7.934131736526946,2.1735433166459117,3.0,13.0,7.891416051660516,0.27394847839989983,36.1
DJINN SPIRITS LLC          ,2637,48830.78,224,7.9375,2.0889684625834257,3.0,12.0,18.517550246492224,0.2631771291443686,37.4
TALL SHIP DISTILLERY LLC   ,2236,48445.58,269,7.955390334572491,2.2835105567397873,3.0,13.0,21.66618067978533,0.2870394111042069,34.4
FORTUNE WINE BROKERS LLC   ,5072,46940.17,402,7.385572139303482,2.041487599026126,3.0,14.0,9.254765378548896,0.27641563314533607,37.9
TAKARA SAKE USA INC        ,9066,45289.34,737,7.345997286295794,2.2938868108691803,3.0,13.0,4.99551511140525,0.3122634982657159,33.6
POVERTY LANE ORCHARDS      ,5872,45269.01,470,7.5702127659574465,2.204464832977991,3.0,12.0,7.709300068119892,0.29120249339506904,35.4
WEIN BAUER INC             ,3014,43517.0,402,7.126865671641791,2.022646010713204,3.0,14.0,14.43828798938288,0.2838058276812245,38.0
Circa Wines                ,3320,42554.34,233,6.948497854077253,1.9776575030446555,3.0,12.0,12.817572289156626,0.2846165523220536,38.5
ATLANTIC IMPORTING COMPANY ,1847,41116.32,266,8.101503759398497,2.050549303761221,3.0,13.0,22.26113697888468,0.25310724584709265,38.0
TAMWORTH DISTILLING        ,1990,41036.44,153,8.30718954248366,1.9509816886284728,3.0,12.0,20.62132663316583,0.23485460138485942,39.4
SOUTHERN GLAZERS W&S OF NE ,4198,40803.92,192,7.791666666666667,2.1016905021532506,3.0,12.0,9.71984754645069,0.26973567942073806,37.1
MARTIGNETTI COMPANIES ,3136,40216.11,294,6.697278911564626,1.9725573075323197,3.0,12.0,12.824014668367347,0.29453115714296696,38.3
TY KU LLC                  ,3003,38921.47,251,7.852589641434263,2.255256807313143,3.0,13.0,12.960862470862471,0.2871991165071532,34.8
CANDIA VINEYARDS           ,2609,36588.01,226,7.548672566371682,2.3361550574203576,3.0,13.0,14.023767727098505,0.3094789231987109,33.2
ALISA CARR BEVERAGES           ,438,34951.68,63,6.809523809523809,2.7230032214044115,3.0,12.0,79.79835616438356,0.399881591954494,25.0
SWEETWATER FARM         ,1629,34708.03,149,7.738255033557047,2.1666887588580073,3.0,13.0,21.30634131368938,0.27999707291400094,36.1
STARK BREWING COMPANY      ,1212,25961.04,41,8.487804878048781,2.134501712572658,3.0,12.0,21.42,0.2514786500444798,36.7
STELLAR IMPORTING CO LLC   ,3104,24560.08,225,7.471111111111111,2.240119398745281,3.0,13.0,7.912396907216495,0.2998375161913672,34.7
INCREDIBREW INC            ,2786,24525.84,231,7.562770562770563,1.9724624059235856,3.0,12.0,8.8032447954056,0.2608121441146813,39.1
"HOOD RIVER DISTILLERS, Inc.",1137,24035.96,83,7.807228915662651,2.476513241879087,3.0,12.0,21.13980650835532,0.3172077146234016,31.3
R.P.IMPORTS INC            ,498,18776.87,73,7.904109589041096,2.6413610946381194,3.0,12.0,37.704558232931724,0.33417566708593194,28.8
THE IMPORTED GRAPE LLC     ,2280,16093.77,192,7.729166666666667,2.2088786412245334,3.0,13.0,7.0586710526315795,0.2857848376786458,35.4
BLACK COVE BEVERAGES       ,919,14465.06,44,9.318181818181818,2.16497196149981,5.0,13.0,15.74,0.23233845440485765,35.8
ALTAMAR BRANDS LLC         ,332,11706.199999999999,57,7.578947368421052,2.427133585859877,3.0,12.0,35.25963855421686,0.3202467925787338,31.8
FULCHINO VINEYARD INC      ,949,11147.77,74,8.378378378378379,2.137100216255808,3.0,12.0,11.746859852476291,0.25507325161762867,36.7
VINEYARD BRANDS LLC        ,371,10951.51,23,8.08695652173913,2.447875581327629,6.0,12.0,29.5188948787062,0.3026942923147068,32.0
WALPOLE MTN VIEW WINERY    ,805,9292.31,74,8.527027027027026,2.394188013885894,4.0,12.0,11.543242236024843,0.2807764073336865,32.9
CENTEUR IMPORTS LLC        ,771,6237.08,107,7.841121495327103,2.124206989480129,3.0,12.0,8.089597924773022,0.2709060165367983,36.8
BLACK PRINCE DISTILLERY INC,807,5971.94,68,7.9411764705882355,1.946158504237825,4.0,12.0,7.400173482032217,0.24507181164476316,39.6
THE PIERPONT GROUP LLC     ,580,5713.19,62,8.241935483870968,2.2881410872395294,4.0,13.0,9.850327586206896,0.277621814890119,34.4
"IRA GOLDMAN AND WILLIAMS, LLP          ",328,5630.88,13,9.615384615384615,1.043907845426784,7.0,11.0,17.167317073170732,0.10856641592438554,49.8
HIGHLAND WINE MERCHANTS LLC,372,5500.32,28,5.321428571428571,2.1782352936973997,3.0,9.0,14.785806451612903,0.40933280686931,29.6
GILMANTON WINERY & VINEYARD,516,5393.04,43,8.0,1.154700538379251,5.0,10.0,10.451627906976745,0.14433756729740638,51.6
