Brand,Revenue,Quantity,Transactions,Revenue %,Cumulative %,Category
6586,5824.7,530,311,0.01757637236377729,76.94805154548247,B
37433,5824.17,583,320,0.017574773057829722,76.9656263185403,B
5042,5818.89,411,285,0.01755884034952187,76.98318515888982,B
3910,5815.05,495,404,0.017547252925297976,77.00073241181512,B
2694,5806.900000000001,110,106,0.017522659824406126,77.01825507163953,B
21329,5804.37,363,194,0.01751502540167528,77.03577009704121,B
19036,5801.13,387,125,0.017505248512486367,77.0532753455537,B
37828,5800.89,411,299,0.017504524298472376,77.07077986985217,B
24606,5800.76,724,178,0.01750413201588146,77.08828400186806,B
2769,5796.91,109,100,0.017492514416073652,77.10577651628414,B
2676,5789.61,339,226,0.01747048623981469,77.12324700252395,B
18951,5787.09,291,149,0.017462881992667764,77.14070988451662,B
3970,5778.379999999999,622,410,0.017436599059076588,77.1581464835757,B
4804,5774.639999999999,336,232,0.01742531339069186,77.1755717969664,B
2631,5773.21,79,69,0.01742099828219182,77.19299279524859,B
40332,5772.57,443,256,0.017419067044821167,77.21041186229341,B
11456,5772.360000000001,164,128,0.017418433357558927,77.22783029565097,B
21032,5760.589999999999,241,206,0.017382916695289338,77.24521321234626,B
2041,5759.36,64,44,0.017379205098467625,77.26259241744472,B
26945,5750.469999999999,353,186,0.017352379004365957,77.27994479644909,B
5525,5745.9,210,150,0.017338588762516167,77.2972833852116,B
5805,5741.93,407,308,0.017326609055701363,77.3146099942673,B
39750,5739.74,558,249,0.017320000602823675,77.33192999487012,B
8232,5734.97,703,437,0.01730560684929556,77.34923560171941,B
23523,5724.27,573,261,0.017273318974505028,77.36650892069392,B
10472,5718.33,467,220,0.017255394677658693,77.38376431537158,B
21596,5717.4,260,97,0.01725258834835447,77.40101690371993,B
28114,5716.44,356,144,0.017249691492298495,77.41826659521223,B
5489,5712.39,561,416,0.017237470380812362,77.43550406559304,B
25649,5704.29,571,337,0.017213028157840086,77.45271709375088,B
22509,5702.83,317,166,0.017208622522588295,77.46992571627347,B
3969,5697.15,285,234,0.017191482790923786,77.48711719906439,B
