Brand,AvgDailyDemand,StdDailyDemand,TotalDemand,AvgLeadTime,StdLeadTime,SafetyStock,ReorderPoint
38852,12.0,0.0,36,8.035714285714286,2.0089087300607473,40,136
25465,4.0,3.968626966596886,36,5.0,1.7606816861659011,19,39
2207,1.894736842105263,1.5597270716416047,36,8.170454545454545,2.085646573629876,10,25
11932,2.0,1.3719886811400708,36,7.481481481481482,2.107853605069695,9,24
5838,1.8,1.7044832524535807,36,7.5,2.1327870235456885,10,23
23832,36.0,0.0,36,9.0,2.2088896522065657,131,455
24292,2.1176470588235294,1.0537049480984035,36,7.8474576271186445,2.164076288747329,9,26
21420,12.0,0.0,36,7.827586206896552,1.9833047009841458,39,133
17520,5.833333333333333,5.269408568963567,35,7.620738941712323,2.2088896522065657,32,77
26497,1.8421052631578947,1.11868761873192,35,7.806451612903226,1.9959636689433844,8,22
18788,3.5,5.661762583821009,35,10.666666666666666,1.5275252316519468,32,69
15981,1.8421052631578947,1.067872125861979,35,8.8,1.8597912596342003,8,24
3770,2.0588235294117645,1.1974237050483696,35,8.0,2.2583179581272432,9,26
23432,2.6923076923076925,3.4972516682059402,35,10.8125,0.655108133567785,19,48
16146,2.5,2.312175133106021,35,7.617647058823529,2.229481606852615,14,33
1591,5.833333333333333,6.210206652492866,35,8.05,2.0500156347121115,35,82
26944,4.375,5.804862493757158,35,7.411764705882353,2.209604702469759,31,63
6446,2.6923076923076925,2.4625398604088757,35,8.03448275862069,2.257089447410801,15,37
22294,3.888888888888889,4.013864859597431,35,8.263157894736842,1.407997208928653,21,53
18971,2.3333333333333335,1.3972762620115438,35,7.730337078651686,2.4250775289566437,11,29
7891,1.8421052631578947,1.4629938062729393,35,7.1395348837209305,2.2629633021718987,9,23
8043,3.888888888888889,7.5571893658364235,35,7.8,2.7834094957538373,39,69
25258,1.75,0.9665456669582609,35,6.352941176470588,0.7859052479933757,5,16
25259,2.6923076923076925,2.2130151145972543,35,6.647058823529412,1.3666188418222285,11,29
39219,1.9444444444444444,1.4741786236338814,35,7.943396226415095,2.307305240881854,10,26
38859,1.9444444444444444,1.696786659341787,35,7.364406779661017,2.322926441349242,11,25
2942,1.6666666666666667,0.9660917830792959,35,7.538461538461538,1.6951413727191822,6,19
12387,1.6666666666666667,0.6582805886043833,35,7.611111111111111,1.7848065977004257,6,18
4355,1.6666666666666667,1.1105554165971787,35,5.868421052631579,2.1203142631883467,7,17
14209,1.9444444444444444,0.9983646759294876,35,7.620738941712323,2.2088896522065657,8,23
32805,1.8421052631578947,2.79410406818709,35,6.75,2.207337859398039,14,26
16178,8.75,14.84082207965583,35,6.666666666666667,0.816496580927726,64,123
21849,2.3333333333333335,2.794552524023088,35,8.39655172413793,2.2551279200688747,16,36
45334,5.833333333333333,5.49241901776136,35,7.222222222222222,2.289504327438469,33,75
1987,1.5909090909090908,1.181568405173351,35,6.589743589743589,2.086522525235012,7,18
2109,2.4285714285714284,1.650840611711114,34,7.385964912280702,2.610528812542498,13,31
35358,2.4285714285714284,3.030975616334316,34,7.5,0.7071067811865476,14,32
23877,4.857142857142857,5.0142653642240695,34,9.0,2.2519832529192065,31,74
30713,2.8333333333333335,3.2427074359478554,34,7.686274509803922,2.213505781139334,18,40
46555,2.2666666666666666,1.7511900715418263,34,7.9375,1.5692354826475217,10,28
23946,2.6153846153846154,2.8733969890027824,34,7.75,2.5,17,37
24050,1.8888888888888888,1.2782749814122842,34,7.065217391304348,2.091274719325708,9,22
8282,4.857142857142857,9.771191865693279,34,8.5,0.7071067811865476,47,89
18800,2.4285714285714284,3.4354326950469867,34,8.0,1.9493588689617927,18,37
21364,2.2666666666666666,2.914659173083209,34,7.0,2.413198999619531,16,31
21369,2.125,1.5438048235879214,34,7.415384615384616,2.0531401840557835,10,26
2647,2.6153846153846154,2.6937724952954465,34,7.842553191489362,2.231452009060417,16,36
36087,6.8,10.256705123966467,34,6.551724137931035,2.010440728094779,49,93
8065,3.090909090909091,2.5866791627314534,34,7.620738941712323,2.2088896522065657,16,40
45599,1.4166666666666667,0.6538625481582945,34,8.576923076923077,1.7750576223306862,5,17
15888,3.7777777777777777,4.994441354590566,34,7.909090909090909,2.91391645228704,29,59
1012,2.8333333333333335,4.608950449117916,34,6.75,3.194455423784382,25,44
23510,3.090909090909091,2.3001976199685736,34,8.32,2.4027195476147014,16,42
2991,1.7,0.9233805168766387,34,7.215909090909091,2.2562753542950302,8,20
42801,2.8333333333333335,2.2495790852081776,34,6.5,1.970013294613105,13,32
3460,1.7,1.1285761872936695,34,7.640776699029126,2.0572891402305524,8,21
27097,3.090909090909091,3.5903912169719177,34,7.333333333333333,1.6696942198734437,18,41
39550,2.6153846153846154,2.4677405839641224,34,10.4,0.8944271909999157,14,41
6568,2.125,1.6683325008322931,34,8.232558139534884,2.1251017824624374,11,28
19865,3.090909090909091,3.935849221058791,34,9.2,2.16794833886788,23,51
40296,1.8888888888888888,1.0226199851298272,34,7.3559322033898304,2.3175694154273727,9,22
25514,3.090909090909091,3.7270509911871463,34,9.727272727272727,2.2716014527581985,22,52
19031,1.7894736842105263,0.9176629354822471,34,7.620738941712323,2.2088896522065657,8,21
24929,3.4,5.274677451960661,34,7.235294117647059,2.077540967246671,26,51
24727,5.666666666666667,9.993331109628393,34,6.666666666666667,2.3094010767585034,48,86
41409,2.4285714285714284,1.3424596091494903,34,8.657142857142857,1.9843928860108366,10,31
804,1.7894736842105263,1.0316624861746775,34,8.05,2.2066333563215186,8,23
600,1.5454545454545454,1.0107645728086345,34,7.204081632653061,1.8594308250637555,7,18
3350,1.7894736842105263,0.787326514818136,34,6.833333333333333,2.6394443859772205,9,21
27065,2.2,2.007130147392398,33,7.780821917808219,2.200041510608795,12,29
24301,3.3,4.270050741306634,33,7.7824267782426775,2.0545974195912056,23,48
11156,5.5,1.760681686165901,33,7.161290322580645,1.985137798306573,20,59
2232,1.736842105263158,0.9911892555667042,33,7.85,2.2083067506657614,8,21
16684,1.9411764705882353,0.8993461677306269,33,8.076923076923077,2.480694691784169,9,25
10469,1.8333333333333333,1.465284553774253,33,7.188405797101449,1.8492873215411816,9,22
32303,2.2,1.2071217242444348,33,8.277777777777779,1.934381054849193,9,27
14972,3.0,3.1937438845342623,33,7.778846153846154,2.158553681407771,18,42
4029,1.736842105263158,1.1470786693528088,33,8.178082191780822,2.029932030563152,8,22
22298,1.65,1.2680278927697552,33,7.87012987012987,2.238130383711095,8,21
453,2.2,1.65615734242165,33,7.568965517241379,2.2408650347696613,11,28
24817,2.2,1.740279123753264,33,7.613793103448276,2.4071254378538773,12,29
16592,1.8333333333333333,1.1504474832710558,33,8.067567567567568,1.8232222046971813,8,23
2717,1.9411764705882353,1.0880365478290537,33,7.959183673469388,2.2263496250726713,9,24
2940,2.2,1.2649110640673518,33,9.0,0.0,6,26
23858,2.5384615384615383,1.8081014266989475,33,8.323529411764707,1.9651600017408424,12,33
16868,1.5714285714285714,0.8106434833777775,33,8.275862068965518,1.7907809893239703,6,19
43615,4.125,4.793969425970806,33,7.328947368421052,2.247298573219185,26,57
3778,1.9411764705882353,0.9663454503498036,33,9.8,2.588435821108957,10,29
25708,2.5384615384615383,1.8536173919925967,33,7.770833333333333,2.136208446014268,12,32
18095,1.9411764705882353,1.0289915108550531,33,8.333333333333334,2.1483446221182985,8,25
3565,1.65,0.9880869341680845,33,8.928571428571429,2.5559669467673154,8,23
12165,2.2,1.5212776585113297,33,8.333333333333334,1.8027756377319943,10,28
22326,1.9411764705882353,1.9833868834425028,33,7.385964912280702,1.9434357092247025,11,25
18578,3.3,3.198958163736021,33,8.5,1.8778487131485553,18,47
39334,1.9411764705882353,1.1974237050483696,33,7.333333333333333,2.3176342617912282,9,23
3884,1.8333333333333333,1.2485285456935955,33,7.297297297297297,1.998122241628998,8,22
39977,1.8333333333333333,1.7235394498804248,33,8.5,1.5811388300841898,10,25
46485,2.2857142857142856,1.4373357526806554,32,7.25,1.7525491637693282,9,26
21117,1.7777777777777777,1.3956046783744507,32,8.575757575757576,1.837632699805361,9,24
25796,2.4615384615384617,1.6641005886756874,32,7.655172413793103,2.1090936114997283,11,30
22508,2.1333333333333333,1.6417180315870612,32,7.195652173913044,1.962080134476235,10,25
45331,2.6666666666666665,2.309401076758503,32,7.666666666666667,2.4612945810066607,15,36
38355,5.333333333333333,5.278888771954441,32,8.5,1.9601288894248494,31,76
24546,2.6666666666666665,1.6143297699232972,32,7.592592592592593,2.098703982118108,12,32
21323,3.5555555555555554,5.174724898753341,32,7.607142857142857,2.0428608428574924,26,53
26248,3.2,5.573747990954262,32,7.506849315068493,2.328108958833524,28,52
35577,32.0,0.0,32,9.0,2.2088896522065657,117,405
18357,2.4615384615384617,1.4500221041639685,32,9.0,2.8284271247461903,14,36
2929,4.571428571428571,8.202786982831768,32,8.666666666666666,3.2145502536643185,47,86
23827,1.6,0.8207826816681233,32,7.023255813953488,2.241262102912885,7,18
44922,2.1333333333333333,1.3557637102737472,32,7.208333333333333,1.6675722177612802,8,24
21000,4.0,6.907552802135189,32,8.333333333333334,2.6583202716502514,37,71
4899,1.5238095238095237,0.7496030695673289,32,8.258064516129032,2.2789358014425884,7,19
16242,4.0,3.585685828003181,32,7.342105263157895,1.99019645627414,21,50
21983,1.8823529411764706,1.1663164740528442,32,8.2,2.573367875415838,10,25
6477,2.909090909090909,4.437443981720681,32,7.397435897435898,2.008680794650692,22,44
4527,2.0,2.6076809620810595,32,7.814814814814815,2.247108830525809,14,30
15426,2.4615384615384617,3.821330148333706,32,7.666666666666667,1.7489492643904123,19,38
834,1.7777777777777777,0.9428090415820634,32,8.310344827586206,2.3467827258955136,8,23
22353,2.909090909090909,4.72132492960494,32,9.75,2.0493901531919194,26,55
22318,3.2,3.823901439919996,32,8.058823529411764,1.9685585631114166,21,46
1050,1.6842105263157894,0.8200698871944031,32,7.545454545454546,2.0670576365276494,7,20
19977,2.2857142857142856,2.920183646189487,32,7.0,2.0766559657295187,15,31
1059,2.4615384615384617,1.6641005886756872,32,7.916666666666667,0.7929614610987593,8,28
4353,1.5238095238095237,1.0304876330673558,32,7.842105263157895,2.6302335742231637,8,20
21410,2.6666666666666665,3.2844906435973886,32,7.2439024390243905,2.2111138347547605,18,37
24193,2.1333333333333333,1.9591057240729093,32,7.510548523206751,2.1024840319553078,12,28
46111,3.5555555555555554,2.788866755113585,32,7.620738941712323,2.2088896522065657,18,45
43430,2.909090909090909,3.5342480234003233,32,8.0,2.4920927582635186,20,44
40456,1.8823529411764706,1.3173056280328643,32,8.212121212121213,2.180438569259027,9,25
4978,2.6666666666666665,1.6696942198734437,32,8.636363636363637,2.2613350843332265,13,36
25211,3.5555555555555554,1.8104634152000358,32,6.898477157360406,2.1969012768303493,15,40
22800,2.4615384615384617,2.2588855886396955,32,7.620738941712323,2.2088896522065657,14,32
39842,16.0,18.384776310850235,32,8.272727272727273,1.7372915179041821,99,231
10267,2.4615384615384617,3.2045640529143387,32,8.785714285714286,1.8926200310708388,17,39
18783,1.7777777777777777,1.1143742932064957,32,6.583333333333333,1.729862492345632,7,19
21783,2.0,1.2110601416389966,32,7.848484848484849,1.6605950010691224,8,24
1416,2.1333333333333333,1.245945806357946,32,8.5,2.1213203435596424,10,28
41215,2.6666666666666665,5.466149273372241,32,8.666666666666666,3.055050463303893,30,53
23386,1.8823529411764706,0.9926198253344827,32,7.96,1.6703293088490068,7,22
16538,1.8823529411764706,2.6898502035702765,32,7.803571428571429,2.0838743886166617,14,29
22568,2.6666666666666665,3.0846639225613406,32,6.8076923076923075,2.227451113164655,17,35
12224,1.9375,1.2893796958227628,31,7.5,1.7100416440082462,8,23
29427,1.7222222222222223,0.9582800496696001,31,7.722543352601156,2.165643576030073,8,21
21533,5.166666666666667,5.307227776030219,31,8.333333333333334,2.148344622118299,31,74
90011,7.75,7.632168761236874,31,5.857142857142857,2.9113897843110044,48,94
21534,1.631578947368421,0.8306975860878397,31,7.181102362204724,1.7924768836243639,6,18
5335,1.7222222222222223,1.903728711380891,31,9.0,2.2088896522065657,11,27
1999,1.631578947368421,0.9551338658818386,31,8.8,1.4999999999999998,6,21
6383,5.166666666666667,5.706721183540218,31,8.11111111111111,2.3687784005919825,34,75
18974,3.875,4.189698250300543,31,7.232558139534884,2.7153637772806585,25,53
32827,2.3846153846153846,1.7097008285302207,31,8.36111111111111,2.5762960985301335,13,33
23159,1.631578947368421,0.8306975860878396,31,7.822784810126582,2.1349322554008427,7,20
14348,1.9375,0.9287087810503356,31,8.607142857142858,2.0609110842912406,8,25
21427,4.428571428571429,8.638231741453085,31,9.4,1.51657508881031,45,87
36766,1.8235294117647058,1.1850788010532811,31,9.25,1.2583057392117916,7,24
23297,1.9375,1.3400870618483463,31,6.875,2.1812988140392484,9,22
19827,2.3846153846153846,1.2608503439122303,31,7.857142857142857,1.9048809486609468,9,28
20598,1.8235294117647058,1.5904124511289146,31,7.914285714285715,2.240948178672545,10,24
3416,15.5,20.506096654409877,31,9.866666666666667,2.4737704480984193,124,277
36539,3.4444444444444446,1.666666666666667,31,7.556213017751479,2.3828217772516216,16,42
4575,2.5833333333333335,3.3427896171076075,31,9.0,1.5634719199411429,18,41
39974,2.3846153846153846,3.0424349222966556,31,7.62962962962963,1.9443833934249646,16,34
24993,2.066666666666667,2.789435853528878,31,7.0,1.4142135623730951,13,28
18629,3.1,3.3482997343593826,31,8.25,2.0504988306618115,19,45
22902,1.9375,1.3889444433333777,31,8.072727272727272,1.9706602151313863,9,25
10972,3.1,5.952590472502987,31,8.5,2.2038926600773587,31,57
24992,2.066666666666667,1.3345232785352157,31,10.5,0.7559289460184551,8,29
25467,2.3846153846153846,3.5482028676139126,31,8.0,0.0,17,36
24876,2.5833333333333335,3.146667308679955,31,7.666666666666667,3.214550253664318,20,40
1033,1.8235294117647058,1.1850788010532811,31,6.0,2.2088896522065657,8,19
529,1.4761904761904763,0.511766315719159,31,8.628571428571428,2.2371951226495024,6,19
2908,2.066666666666667,1.667618775665584,31,7.225531914893617,2.0745165315776712,10,25
11209,1.7222222222222223,1.274434386908933,31,7.0,2.2088896522065657,8,20
23535,2.2142857142857144,0.9749612559222292,31,8.023809523809524,2.0658441283973756,9,27
833,1.7222222222222223,1.4061024795535124,31,8.30952380952381,2.4243489972351115,10,24
13045,4.428571428571429,5.094347941825426,31,8.0,1.4142135623730951,26,61
8254,2.2142857142857144,2.359223191208086,31,7.833333333333333,2.2889815682347265,14,31
8965,1.7222222222222223,1.1274936053323583,31,8.086206896551724,2.2810007249713933,8,22
1425,1.9375,1.2893796958227624,31,8.142857142857142,2.2062921084309908,9,25
5737,2.2142857142857144,1.5776599725577716,31,8.333333333333334,1.9663841605003498,10,29
22901,2.2142857142857144,1.5281246137553164,31,7.857142857142857,2.2668736965494265,11,28
44715,2.3846153846153846,2.2560460078960243,31,8.244897959183673,2.3499167737469797,14,34
17216,2.2142857142857144,3.7040221678305625,31,7.102564102564102,2.0234789192309863,18,34
1025,2.3846153846153846,3.2541886223363865,31,5.615384615384615,2.5061138675699546,16,29
18167,1.4761904761904763,0.749603069567329,31,7.531914893617022,2.0835907950687194,6,17
21338,2.2142857142857144,1.5281246137553166,31,9.627906976744185,2.2575086965392117,11,33
25789,1.8235294117647058,1.0145993123917845,31,7.888888888888889,2.472066162365221,9,23
21121,2.3846153846153846,3.0424349222966556,31,7.620738941712323,2.2088896522065657,16,35
32136,1.7222222222222223,0.8264420947336314,31,6.925925925925926,2.5408345982846767,8,20
46725,1.4090909090909092,0.5903260526902472,31,7.647058823529412,2.234423204951007,6,17
8544,2.2142857142857144,2.607048771446997,31,7.620738941712323,2.2088896522065657,14,31
120,1.5,1.1470786693528088,30,8.916666666666666,1.4433756729740645,7,20
21281,2.142857142857143,1.5118578920369088,30,7.791208791208791,2.203615632528018,10,27
